name,aupr,aupr_ci_b,aupr_ci_t,biased_f1,biased_f1_ci_b,biased_f1_ci_t,biased_precision,biased_recall,mixed_f1,mixed_f1_ci_b,mixed_f1_ci_t,mixed_precision,mixed_recall,aupr_ci_95_b,aupr_ci_95_t,biased_f1_ci_95_b,biased_f1_ci_95_t,mixed_f1_ci_95_b,mixed_f1_ci_95_t
Logistic Regression - Sick Only Biased Multiple,0.468876947578,0.400821698252,0.534430710298,0.627858627859,0.575023427845,0.678628419453,0.740196078431,0.545126353791,0.594689035397,0.541629077695,0.642623295386,0.654165516363,0.545126353791,,,,,,
Logistic Regression - Sick Only Silver Multiple,0.586832484009,0.537163941131,0.633671740101,0.625277161863,0.572709717214,0.67286319126,0.810344827586,0.509025270758,0.625277161863,0.570103571903,0.675215053763,0.810344827586,0.509025270758,,,,,,
Logistic Regression Sick Biased,0.914628306981,0.89488309744,0.932272895146,0.869,0.848261201072,0.887709472002,0.826831588963,0.915700737619,0.810384021579,0.787914204412,0.839044435994,0.726793889424,0.915700737619,0.900799787824,0.9283130669,0.851924634486,0.883558817606,0.791780829252,0.832143680931
Logistic Regression Sick Gold,0.911566618127,0.520473646595,0.927916503238,0.8304368248,0.808406861365,0.852763585694,0.749152542373,0.931506849315,0.829657107884,0.806230285322,0.850277771943,0.747884404568,0.931506849315,0.52945863571,0.924326578721,0.812528921452,0.847006791399,0.811829028018,0.84508042162
Logistic Regression Sick Silver,0.903831536385,0.660787392232,0.922137289447,0.842672413793,0.817941421646,0.867022227414,0.862183020948,0.824025289779,0.842672413793,0.815356041096,0.866632219548,0.862183020948,0.824025289779,0.666443338138,0.917155437709,0.824696265697,0.860394132755,0.825121099578,0.859133248001
Random Forest Sick Biased,0.891083083398,0.868821961839,0.911777024853,0.843964671246,0.822514135175,0.864612237953,0.78971533517,0.906217070601,0.747063424292,0.718742916242,0.772203062017,0.635461081452,0.906217070601,0.874629849456,0.905368533713,0.826815226583,0.859450970795,0.723562811064,0.768220466267
Random Forest Sick Gold,0.904827840603,0.88395667197,0.92208985579,0.83044982699,0.806822260482,0.852128635126,0.782122905028,0.885142255005,0.82147063604,0.800336306594,0.845261979121,0.766344581537,0.885142255005,0.889712321828,0.918059830321,0.812033302086,0.848632052917,0.804112688486,0.839735764475
Random Forest Sick Silver,0.903960311085,0.882488224244,0.921570674945,0.834710743802,0.81332198012,0.856302688642,0.818642350557,0.851422550053,0.833848893276,0.80922984226,0.856411293287,0.816986018456,0.851422550053,0.888138582238,0.917094571777,0.81716829175,0.852663880866,0.81553597985,0.850565799789
SVM Sick Biased,0.83931831819,0.814089305753,0.859867089264,0.852585790237,0.83333081571,0.875590820832,0.7875,0.929399367756,0.700308667794,0.67155038646,0.729268256262,0.561823058496,0.929399367756,0.819516275784,0.856429170455,0.836815117959,0.869292181407,0.678325163152,0.721283302138
SVM Sick Gold,0.836184416571,0.814842818893,0.855436453005,0.866531850354,0.845154124008,0.887049975341,0.832847424684,0.903055848261,0.838964305727,0.814745234594,0.862367366224,0.783367281946,0.903055848261,0.820695543893,0.851709740604,0.85012985133,0.882939708141,0.821037378311,0.858322715436
SVM Sick Silver,0.881625355224,0.856996120415,0.901114329337,0.0104821802935,0.0,0.0253723001158,1.0,0.00526870389884,0.0104821802935,0.0,0.0252640955517,1.0,0.00526870389884,0.864322698258,0.897719321202,0.00212083460647,0.0211783988958,0.00208512792613,0.0208561469573
